epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.24,1.79483,4.33979,1.74599,0.38585,0.31513,0.30139,0.1438,1.77013,3.15167,1.72873,0.000236714,0.000236714,0.000236714
2,204.05,1.62898,3.15865,1.66273,0.4168,0.39076,0.33102,0.15219,1.74388,2.76786,1.72377,0.000427717,0.000427717,0.000427717
3,311.456,1.63795,3.19743,1.69242,0.51993,0.41865,0.44102,0.21079,1.71141,2.48887,1.6911,0.000571596,0.000571596,0.000571596
4,431.296,1.56576,2.83043,1.60658,0.42483,0.46008,0.38825,0.1894,1.68274,2.49187,1.67166,0.000501942,0.000501942,0.000501942
5,554.61,1.5387,2.55877,1.62298,0.64104,0.48319,0.51912,0.26608,1.63329,2.1539,1.59808,0.000431256,0.000431256,0.000431256
6,668.374,1.47403,2.36136,1.54274,0.5587,0.52941,0.55539,0.30311,1.58267,2.03036,1.55124,0.00036057,0.00036057,0.00036057
7,790.236,1.45971,2.42127,1.53132,0.61602,0.59454,0.56199,0.29732,1.55705,1.95768,1.54843,0.000289884,0.000289884,0.000289884
8,905.877,1.40594,2.27244,1.48645,0.64865,0.6128,0.63439,0.32554,1.539,1.78872,1.50814,0.000219198,0.000219198,0.000219198
9,1015.09,1.32059,1.97496,1.42837,0.6118,0.63866,0.60476,0.30818,1.46189,1.78496,1.46041,0.000148512,0.000148512,0.000148512
10,1123.82,1.28583,1.9157,1.4035,0.70174,0.63025,0.66326,0.37073,1.43822,1.67304,1.43804,7.7826e-05,7.7826e-05,7.7826e-05
